Course,Course GPA,Professor,Professor Average GPA
Data Sci Programming II (320),3.56,TUNAN WANG,3.79
Data Sci Programming II (320),3.56,MUHAMMAD MUSA,3.79
Data Sci Programming II (320),3.56,EDWARD HALIM,3.79
Data Sci Programming II (320),3.56,LUKE DOTSON,3.49
Data Sci Programming II (320),3.56,GURMAIL SINGH,3.83
Data Sci Programming II (320),3.56,KARTHIK SURESH,3.49
Data Sci Programming II (320),3.56,MEENAKSHI SYAMKUMAR,3.31
Data Sci Programming II (320),3.56,ANDREW KUEMMEL,3.31
Data Sci Programming II (320),3.56,TYLER CARAZA-HARTER,3.40
Data Sci Programming II (320),3.56,GIANNIS IAKOVIDIS,3.79
Data Sci Programming II (320),3.56,ZHEYANG XIONG,3.79
Data Sci Programming II (320),3.56,ALEX PESECKIS,3.79
Data Sci Programming II (320),3.56,JIANGYI LIU,3.79
Data Sci Programming II (320),3.56,FANCHAO CHEN,3.79
Data Sci Programming II (320),3.56,BENJAMIN JACOBSEN,3.79
Data Sci Programming II (320),3.56,RAHUL CHUNDURU,3.70
Data Sci Programming II (320),3.56,JINLANG WANG,3.70
Data Sci Programming II (320),3.56,WILLIAM CONG,3.89
Data Sci Programming II (320),3.56,BOWMAN BROWN,3.89
Data Sci Programming II (320),3.56,ALEXANDER CLINTON,3.85
Data Sci Programming II (320),3.56,ELLIOT PICKENS,3.68
Data Sci Programming II (320),3.56,HAFEEZ ALI ANEES ALI,3.85
Data Sci Programming II (320),3.56,YIYIN SHEN,3.45
Data Sci Programming II (320),3.56,YOUNG WU,3.55
Data Sci Programming II (320),3.56,DANIEL MCNEELA,3.49
Data Sci Programming II (320),3.56,MARIO IVAN JAEN MARQUEZ,3.44
Data Sci Programming II (320),3.56,LEITIAN TAO,3.49
Data Sci Programming II (320),3.56,YIBING WEI,3.03
Data Sci Programming II (320),3.56,POULAMI PAUL,3.03
Data Sci Programming II (320),3.56,ANA KLABJAN,3.38
Data Sci Programming II (320),3.56,HAOTIAN MA,3.38
Data Sci Programming II (320),3.56,SACHA JUNGERMAN,3.86
Data Sci Programming II (320),3.56,JOSEPH MOHR,3.86
Data Sci Programming II (320),3.56,SHRI SHRUTHI SHRIDHAR,3.86
Design Programming (321),3.99,UCHITA VAID,3.99
Digital Computer Projects in Control and Instrumentation (468),3.8,MARK ALLIE,3.81
Geospatial Web and Mobile Programming (576),3.88,MOULAY SOUNNY-SLITINE,3.87
Geospatial Web and Mobile Programming (576),3.88,RANDY SINCOULAR,3.87
Geospatial Web and Mobile Programming (576),3.88,HAO FU,3.97
Geospatial Web and Mobile Programming (576),3.88,CHRISTOPHER SCHEELE,3.96
Geospatial Web and Mobile Programming (576),3.88,GUIMING ZHANG,4.00
Geospatial Web and Mobile Programming (576),3.88,QUNYING HUANG,3.82
Integer Programming (720),3.69,JAMES LUEDTKE,3.62
Integer Programming (720),3.69,ALBERTO DEL PIA,3.82
Integer Programming (720),3.69,YONGJIA SONG,3.80
Integer Programming (720),3.69,ANDREW J MILLER,4.00
Introduction to Computer Architecture (552),3.39,JUNXUAN LIAO,3.67
Introduction to Computer Architecture (552),3.39,MANU MAHESHWARI,3.67
Introduction to Computer Architecture (552),3.39,SWAMIT TANNU,3.51
Introduction to Computer Architecture (552),3.39,BOONE SEVERSON,3.56
Introduction to Computer Architecture (552),3.39,SETAREH BEHROOZI,3.61
Introduction to Computer Architecture (552),3.39,JOSHUA SANMIGUEL,3.55
Introduction to Computer Architecture (552),3.39,TANMAY ANAND,3.53
Introduction to Computer Architecture (552),3.39,IAN MCDOUGALL,3.53
Introduction to Computer Architecture (552),3.39,MATT SINCLAIR,3.56
Introduction to Computer Architecture (552),3.39,RUTWIK JAIN,3.38
Introduction to Computer Architecture (552),3.39,MOHIL PATEL,3.38
Introduction to Computer Architecture (552),3.39,KARTHIKEYAN SANKARALINGAM,3.48
Introduction to Computer Architecture (552),3.39,KYLE MAY,3.77
Introduction to Computer Architecture (552),3.39,RAMI DAHMAN,3.77
Introduction to Computer Architecture (552),3.39,MIKKO LIPASTI,3.75
Introduction to Computer Architecture (552),3.39,YU HU,2.94
Introduction to Computer Architecture (552),3.39,PARAMESWARAN RAMANATHAN,3.06
Introduction to Computer Architecture (552),3.39,ERIC HOFFMAN,3.50
