Professor,Professor GPA
BENJAMIN JACOBSEN,3.81
HADI KHADER,3.86
JOSIAH HANNA,3.86
BRIAN HUANG,3.98
KIRTHEVASAN KANDASAMY,3.98
NIKOLAOS ZARIFIS,3.94
ILIAS DIAKONIKOLAS,3.94
CHANGHO SHIN,3.85
HARIT VISHWAKARMA,3.9
FRED SALA,3.9
YINGYU LIANG,3.92
YING FAN,4.0
JERRY ZHU,3.75
MARK CRAVEN,3.68
C DAVID PAGE,3.7
AASHISH THITE,3.45
JUDE SHAVLIK,3.89
FENG YE,4.0
SUMAN BANERJEE,3.85
BHUVANA KRISHNASWAMY,4.0
XINYU ZHANG,2.97
CHIN-YA HUANG,3.73
UMIT OGRAS,3.53
KASSEM FAWAZ,3.61
JING LI,3.38
NAM KIM,3.52
MARTA PRADA,2.58
KYLE J RUPNOW,2.78
SEAPAHN MEGERIAN,2.74
SCOTT SWANSON,3.75
GRAYSON ELIAS,3.84
MYA SCHRODER,3.87
MICHAEL YU,3.87
MARK TERVO,3.71
ABINAYAA KANIMOZHI CHANDRASEKAR,3.71
JUSTIN KIEFEL,3.55
DANIEL SMEDEMA,3.78
SWEKSHA SINHA,3.79
CAT NELSON,3.79
XINCHENG XIE,3.79
KASSIE POVINELLI,3.79
HIMANSHU SAGAR,3.73
ADITYA JAIN,3.56
ROBERT KLOCK,3.56
AKSHAT SINHA,3.87
NITZAN ORR,3.46
CONNOR BAILEY,3.46
OBAIDULLAH ADIL AHMED,3.46
SIYANG CHEN,3.54
TRACY LEWIS-WILLIAMS,3.46
PARUL GUPTA,3.64
. GEETIKA,3.64
BENJAMIN LIBLIT,2.98
BILGE MUTLU,3.9
RU WANG,3.97
YUHANG ZHAO,3.91
TIGER JI,3.81
DAKOTA SULLIVAN,3.9
HANNA STROHM,3.98
MARTINA RAU,4.0
VOLKAN KURSUN,3.59
RANJITH KUMAR,3.59
RAHUL CHATTERJEE,4.0
EARLENCE FERNANDES,4.0
MITCHELL BRYAN HAYENGA,3.88
JAMES SMITH,3.75
SKYLAR HOU,3.09
MICHAEL FERRIS,3.15
LINE ROALD,3.61
JEFFREY LINDEROTH,3.23
RUOHUI WANG,2.92
YUTIAN TAO,2.92
BAINIAN HAO,3.5
YINGXIN JIA,3.57
STEPHEN WRIGHT,3.5
YIZHOU LU,3.25
THOMAS RUTHERFORD,3.41
JASON ZHOU,3.96
DAN NEGRUT,3.97
HUZAIFA MUSTAFA UNJHAWALA,3.96
HARRY ZHANG,3.96
JINGQUAN WANG,3.96
NICHOLAS OLSEN,3.97
MILAD RAKHSHA,3.97
MICHAEL GLEICHER,3.69
JOHN ARCHAMBAULT,3.97
STEPHANIE KANN,3.96
KATHY PREM,3.96
PAVANA PRABHAKAR,3.8
HRIDYESH RAJ TEWANI,3.63
ROBERT ROWLANDS,3.84
BU WANG,3.46
RUNHUA ZHANG,3.98
DANIEL SWIERTZ,3.28
HUSSAIN BAHIA,3.2
REMYA VARMA KOTTARATHIL MADOM,3.39
CHENG LING,3.39
ERIK LYNGDAL,3.31
ANDREW HANZ,3.34
HASSAN TABATABAEE,3.36
SEBASTIAN PUCHALSKI,3.25
CARL MOODY JOHNSON,3.29
STEVEN MARK CRAMER,3.34
AMIT NIMUNKAR,3.74
WILLIS TOMPKINS,3.7
BRODY HARSTAD,3.45
JONATHAN BARAN,3.56
NIMISH PUJARA,3.86
JENNIFER FRANCK,4.0
CHRISTOPHER RUTLAND,3.85
JENNIFER CHOY,3.6
NATHAN STRACHEN,3.86
JOSEPH ANDREWS,3.81
KEVIN SCHNITTKER,3.81
DANIEL COLIN LUDOIS,3.89
B BARMISH,3.25
MIKHAIL KATS,3.84
KYLE HANSON,3.52
JOHN BOOSKE,3.52
MARK ALLIE,3.81
ZONGFU YU,3.74
ZHENQIANG MA,4.0
TERESA ANN ESSER,4.0
VENKATA GIRI VENKATARAMANAN,4.0
PEHR ANDERSON,4.0
THOMAS F KUECH,2.67
BRIAN POWERS,2.98
BI CHENG WU,3.39
YONGYI GUO,3.33
KEITH LEVIN,3.25
KARL ROHE,3.77
BRET LARGET,3.43
SAHIFA SIDDIQUA,3.59
MIRANDA RINTOUL,3.79
CAMERON JONES,3.57
HAMNA HANNAN,3.53
JESSICA KEHE,3.65
PARASCHOS KOUTRIS,3.91
AN DOAN,3.83
JEFFREY NAUGHTON,3.68
LOUIS OLIPHANT,3.35
TUNAN WANG,3.56
KINCANNON WILSON,3.26
DAVID PARRA,3.21
YUHENG WU,3.19
ABHINAV NARAYAN HARISH,3.21
MUHAMMAD MUSA,3.56
SATYA SAI SRINATH NAMBURI,3.37
ABOLI VIJAYANAND PAI,3.21
EDWARD HALIM,3.68
FAHAD TOUSEEF,3.2
SAMUEL GUO,3.2
YUNFU DENG,3.22
TAKIS CHYTAS,3.27
LUKE DOTSON,3.35
CATHY CAO,3.27
GURMAIL SINGH,3.51
COLE NELSON,3.34
ASHWIN MARAN,3.42
DIVYAM ANSHUMAAN,3.34
JOHN BALIS,3.33
TIMOTHY OSSOWSKI,3.58
BRANDON TRAN,3.58
MUHAMMAD HARIS NOOR,3.43
IFFAT NAFISA,3.43
COLE DIIANNI,3.34
ANIRUDH SUNDARA RAJAN,3.34
HAKAN DINGENC,3.34
KARTHIK SURESH,3.42
DEEPTI RAJAGOPAL,3.28
ISHA PADMANABAN,3.28
ISHAAN KOHLI,3.28
SHREY SHAH,3.28
MEENAKSHI SYAMKUMAR,3.62
YUCHEN ZENG,3.82
CHAO-HSIANG CHUNG,3.82
BHAVYA GOYAL,3.82
NITHIN VENKATESH,3.83
DEEPAN DAS,3.83
SOURAV PAL,3.83
ZHENMEI SHI,3.75
YELUN BAO,3.75
ZHEYANG XIONG,3.79
ALEX PESECKIS,3.79
JIANGYI LIU,3.79
RAHUL CHUNDURU,3.7
JINLANG WANG,3.7
WILLIAM CONG,3.89
BOWMAN BROWN,3.89
ALEXANDER CLINTON,3.85
ELLIOT PICKENS,3.68
HAFEEZ ALI ANEES ALI,3.85
YIYIN SHEN,3.45
YOUNG WU,3.55
DANIEL MCNEELA,3.49
MARIO IVAN JAEN MARQUEZ,3.44
LEITIAN TAO,3.49
YIBING WEI,3.03
POULAMI PAUL,3.03
TYLER CARAZA-HARTER,3.41
ANA KLABJAN,3.38
HAOTIAN MA,3.38
SACHA JUNGERMAN,3.86
JOSEPH MOHR,3.86
SHRI SHRUTHI SHRIDHAR,3.86
XINYAN WANG,4.0
SUSAN GLENN,4.0
AR NELSON,4.0
DEEP PATEL,4.0
MICHAEL PAYTON,3.93
GARY LUPYAN,3.85
MOHAN JI,3.75
JINDA MOORE,4.0
MOLLIE STOLBOV,3.91
TOMMY CHANG,3.9
SHIVARAM VENKATARAMAN,3.97
ROGER WALEFFE,3.99
YIEN XU,4.0
SRINIVASA AKELLA,3.94
JOHN GILLETT,3.93
MING PEI,3.96
SIXU LI,3.95
ELINA CHOI,3.94
YONGSU LEE,3.76
CHARLES FISCHER,3.53
ALEXANDER BROOKS,2.77
BECK HASTI,3.08
SUSAN HORWITZ,2.87
MARVIN H. SOLOMON,2.79
HONGZHI LIU,3.85
MD. TAREQ MAHMOOD,3.64
ZEFAN CAI,3.69
STOCKTON JENKINS,3.69
LIN ZHANG,3.51
WEICHU YANG,3.51
GABRIEL ORLANSKI,3.51
SETH OCKERMAN,3.61
SPENCER SCHOENBERG,3.61
SUYAN QU,3.61
SAANIDHI ARORA,3.65
